round,0 execute episode(10000),7819
round,1 execute episode(10000),6126
round,2 execute episode(10000),623
round,3 execute episode(10000),776
round,4 execute episode(10000),2650
round,5 execute episode(10000),414
round,6 execute episode(10000),1030
round,7 execute episode(10000),627
round,8 execute episode(10000),72
round,9 execute episode(10000),213
round,10 execute episode(10000),77
round,11 execute episode(10000),59
round,12 execute episode(10000),64
round,13 execute episode(10000),61
round,14 execute episode(10000),54
round,15 execute episode(10000),54
round,16 execute episode(10000),54
round,17 execute episode(10000),54
round,18 execute episode(10000),54
round,19 execute episode(10000),54
round,20 execute episode(10000),54
round,21 execute episode(10000),54
round,22 execute episode(10000),54
round,23 execute episode(10000),54
round,24 execute episode(10000),54
round,25 execute episode(10000),54
round,26 execute episode(10000),54
round,27 execute episode(10000),54
round,28 execute episode(10000),54
round,29 execute episode(10000),54
round,30 execute episode(10000),54
round,31 execute episode(10000),54
round,32 execute episode(10000),54
round,33 execute episode(10000),54
round,34 execute episode(10000),54
round,35 execute episode(10000),54
round,36 execute episode(10000),54
round,37 execute episode(10000),54
round,38 execute episode(10000),54
round,39 execute episode(10000),54
round,40 execute episode(10000),54
round,41 execute episode(10000),54
round,42 execute episode(10000),54
round,43 execute episode(10000),54
round,44 execute episode(10000),54
round,45 execute episode(10000),54
round,46 execute episode(10000),54
round,47 execute episode(10000),54
round,48 execute episode(10000),54
round,49 execute episode(10000),54
round,50 execute episode(10000),54
round,51 execute episode(10000),54
round,52 execute episode(10000),54
round,53 execute episode(10000),54
round,54 execute episode(10000),54
round,55 execute episode(10000),54
round,56 execute episode(10000),54
round,57 execute episode(10000),54
round,58 execute episode(10000),54
round,59 execute episode(10000),54
round,60 execute episode(10000),54
round,61 execute episode(10000),54
round,62 execute episode(10000),54
round,63 execute episode(10000),54
round,64 execute episode(10000),54
round,65 execute episode(10000),54
round,66 execute episode(10000),54
round,67 execute episode(10000),54
round,68 execute episode(10000),54
round,69 execute episode(10000),54
round,70 execute episode(10000),54
round,71 execute episode(10000),54
round,72 execute episode(10000),54
round,73 execute episode(10000),54
round,74 execute episode(10000),54
round,75 execute episode(10000),54
round,76 execute episode(10000),54
round,77 execute episode(10000),54
round,78 execute episode(10000),54
round,79 execute episode(10000),54
round,80 execute episode(10000),54
round,81 execute episode(10000),54
round,82 execute episode(10000),54
round,83 execute episode(10000),54
round,84 execute episode(10000),54
round,85 execute episode(10000),54
round,86 execute episode(10000),54
round,87 execute episode(10000),54
round,88 execute episode(10000),54
round,89 execute episode(10000),54
round,90 execute episode(10000),54
round,91 execute episode(10000),54
round,92 execute episode(10000),54
round,93 execute episode(10000),54
round,94 execute episode(10000),54
round,95 execute episode(10000),54
round,96 execute episode(10000),54
round,97 execute episode(10000),54
round,98 execute episode(10000),54
round,99 execute episode(10000),54
round,0 execute episode(10000),3667
round,1 execute episode(10000),4840
round,2 execute episode(10000),1400
round,3 execute episode(10000),1954
round,4 execute episode(10000),1048
round,5 execute episode(10000),506
round,6 execute episode(10000),2887
round,7 execute episode(10000),823
round,8 execute episode(10000),447
round,9 execute episode(10000),2780
round,10 execute episode(10000),338
round,11 execute episode(10000),1200
round,12 execute episode(10000),732
round,13 execute episode(10000),660
round,14 execute episode(10000),636
round,15 execute episode(10000),151
round,16 execute episode(10000),467
round,17 execute episode(10000),380
round,18 execute episode(10000),114
round,19 execute episode(10000),166
round,20 execute episode(10000),86
round,21 execute episode(10000),72
round,22 execute episode(10000),115
round,23 execute episode(10000),77
round,24 execute episode(10000),58
round,25 execute episode(10000),52
round,26 execute episode(10000),52
round,27 execute episode(10000),52
round,28 execute episode(10000),52
round,29 execute episode(10000),52
round,30 execute episode(10000),52
round,31 execute episode(10000),52
round,32 execute episode(10000),52
round,33 execute episode(10000),52
round,34 execute episode(10000),52
round,35 execute episode(10000),52
round,36 execute episode(10000),52
round,37 execute episode(10000),52
round,38 execute episode(10000),52
round,39 execute episode(10000),52
round,40 execute episode(10000),52
round,41 execute episode(10000),52
round,42 execute episode(10000),52
round,43 execute episode(10000),52
round,44 execute episode(10000),52
round,45 execute episode(10000),52
round,46 execute episode(10000),52
round,47 execute episode(10000),52
round,48 execute episode(10000),52
round,49 execute episode(10000),52
round,50 execute episode(10000),52
round,51 execute episode(10000),52
round,52 execute episode(10000),52
round,53 execute episode(10000),52
round,54 execute episode(10000),52
round,55 execute episode(10000),52
round,56 execute episode(10000),52
round,57 execute episode(10000),52
round,58 execute episode(10000),52
round,59 execute episode(10000),52
round,60 execute episode(10000),52
round,61 execute episode(10000),52
round,62 execute episode(10000),52
round,63 execute episode(10000),52
round,64 execute episode(10000),52
round,65 execute episode(10000),52
round,66 execute episode(10000),52
round,67 execute episode(10000),52
round,68 execute episode(10000),52
round,69 execute episode(10000),52
round,70 execute episode(10000),52
round,71 execute episode(10000),52
round,72 execute episode(10000),52
round,73 execute episode(10000),52
round,74 execute episode(10000),52
round,75 execute episode(10000),52
round,76 execute episode(10000),52
round,77 execute episode(10000),52
round,78 execute episode(10000),52
round,79 execute episode(10000),52
round,80 execute episode(10000),52
round,81 execute episode(10000),52
round,82 execute episode(10000),52
round,83 execute episode(10000),52
round,84 execute episode(10000),52
round,85 execute episode(10000),52
round,86 execute episode(10000),52
round,87 execute episode(10000),52
round,88 execute episode(10000),52
round,89 execute episode(10000),52
round,90 execute episode(10000),52
round,91 execute episode(10000),52
round,92 execute episode(10000),52
round,93 execute episode(10000),52
round,94 execute episode(10000),52
round,95 execute episode(10000),52
round,96 execute episode(10000),52
round,97 execute episode(10000),52
round,98 execute episode(10000),52
round,99 execute episode(10000),52
